Fold,Epoch,Loss,Accuracy,Pred_Real,Pred_Fake,True_Real,True_Fake,TN,FP,FN,TP
1,0,0.7410137057304382,0.5859375,0,128,53,75,0,53,0,75
1,1,40.83966064453125,0.5859375,0,128,53,75,0,53,0,75
1,2,5.7466020584106445,0.3984375,104,24,53,75,40,13,64,11
1,3,0.7915152907371521,0.4609375,92,36,53,75,38,15,54,21
1,4,1.225340723991394,0.5078125,104,24,53,75,47,6,57,18
1,5,1.0061774253845215,0.546875,93,35,53,75,44,9,49,26
1,6,1.32033371925354,0.5625,79,49,53,75,38,15,41,34
1,7,0.7893093824386597,0.5234375,96,32,53,75,44,9,52,23
1,8,0.6496066451072693,0.515625,103,25,53,75,47,6,56,19
1,9,0.6302624940872192,0.5,107,21,53,75,48,5,59,16
1,10,0.5749906897544861,0.5,109,19,53,75,49,4,60,15
1,11,0.5545260906219482,0.5,111,17,53,75,50,3,61,14
1,12,0.5394588112831116,0.5078125,108,20,53,75,49,4,59,16
1,13,0.5032079219818115,0.5234375,106,22,53,75,49,4,57,18
1,14,0.48720696568489075,0.546875,103,25,53,75,49,4,54,21
1,15,0.4414388835430145,0.5625,101,27,53,75,49,4,52,23
1,16,0.40665125846862793,0.5859375,98,30,53,75,49,4,49,26
1,17,0.3810555934906006,0.625,93,35,53,75,49,4,44,31
1,18,0.42817991971969604,0.609375,95,33,53,75,49,4,46,29
1,19,0.45570108294487,0.640625,89,39,53,75,48,5,41,34
1,20,0.34373578429222107,0.703125,77,51,53,75,46,7,31,44
1,21,0.2837546467781067,0.7265625,68,60,53,75,43,10,25,50
1,22,0.3657666742801666,0.7421875,72,56,53,75,46,7,26,49
1,23,0.29003608226776123,0.7265625,74,54,53,75,46,7,28,47
1,24,0.2846262753009796,0.71875,75,53,53,75,46,7,29,46
1,25,0.3115784525871277,0.7265625,74,54,53,75,46,7,28,47
1,26,0.27897849678993225,0.7421875,68,60,53,75,44,9,24,51
1,27,0.24388228356838226,0.734375,61,67,53,75,40,13,21,54
1,28,0.2224748283624649,0.7265625,58,70,53,75,38,15,20,55
1,29,0.2456999570131302,0.7109375,56,72,53,75,36,17,20,55
1,30,0.21426615118980408,0.7265625,58,70,53,75,38,15,20,55
1,31,0.18721020221710205,0.7265625,58,70,53,75,38,15,20,55
1,32,0.1919754594564438,0.734375,59,69,53,75,39,14,20,55
1,33,0.1777995377779007,0.7265625,60,68,53,75,39,14,21,54
1,34,0.17278878390789032,0.7109375,58,70,53,75,37,16,21,54
1,35,0.1664988398551941,0.7109375,56,72,53,75,36,17,20,55
1,36,0.16903606057167053,0.71875,55,73,53,75,36,17,19,56
1,37,0.15216176211833954,0.7265625,52,76,53,75,35,18,17,58
1,38,0.13477139174938202,0.7265625,52,76,53,75,35,18,17,58
1,39,0.13056746125221252,0.71875,51,77,53,75,34,19,17,58
1,40,0.1404261589050293,0.7265625,52,76,53,75,35,18,17,58
1,41,0.13290046155452728,0.71875,53,75,53,75,35,18,18,57
1,42,0.12938888370990753,0.7265625,54,74,53,75,36,17,18,57
1,43,0.1408856064081192,0.7265625,52,76,53,75,35,18,17,58
1,44,0.10453019291162491,0.7265625,52,76,53,75,35,18,17,58
1,45,0.10944095999002457,0.7265625,52,76,53,75,35,18,17,58
1,46,0.10412681847810745,0.7265625,52,76,53,75,35,18,17,58
1,47,0.10415803641080856,0.7265625,52,76,53,75,35,18,17,58
1,48,0.10549744218587875,0.7265625,52,76,53,75,35,18,17,58
1,49,0.10520914942026138,0.7265625,52,76,53,75,35,18,17,58
2,0,0.7286573648452759,0.4094488188976378,127,0,52,75,52,0,75,0
2,1,41.085758209228516,0.4094488188976378,127,0,52,75,52,0,75,0
2,2,6.051574230194092,0.5905511811023622,0,127,52,75,0,52,0,75
2,3,3.1261703968048096,0.5905511811023622,0,127,52,75,0,52,0,75
2,4,2.798139810562134,0.5905511811023622,0,127,52,75,0,52,0,75
2,5,1.4764224290847778,0.5905511811023622,0,127,52,75,0,52,0,75
2,6,0.8455311059951782,0.6141732283464567,5,122,52,75,4,48,1,74
2,7,0.7383135557174683,0.6771653543307087,41,86,52,75,26,26,15,60
2,8,0.7810870409011841,0.6929133858267716,63,64,52,75,38,14,25,50
2,9,0.6306479573249817,0.6692913385826772,32,95,52,75,21,31,11,64
2,10,0.6394799947738647,0.6456692913385826,19,108,52,75,13,39,6,69
2,11,0.6313309073448181,0.6692913385826772,24,103,52,75,17,35,7,68
2,12,0.5702182650566101,0.7165354330708661,38,89,52,75,27,25,11,64
2,13,0.5463520288467407,0.7165354330708661,62,65,52,75,39,13,23,52
2,14,0.5604264736175537,0.7322834645669292,66,61,52,75,42,10,24,51
2,15,0.47873857617378235,0.7637795275590551,58,69,52,75,40,12,18,57
2,16,0.43380066752433777,0.7795275590551181,50,77,52,75,37,15,13,62
2,17,0.41458597779273987,0.7795275590551181,46,81,52,75,35,17,11,64
