Fold,Epoch,Loss,Accuracy,Pred_Real,Pred_Fake,True_Real,True_Fake,TN,FP,FN,TP
1,0,0.6965866684913635,0.4140625,128,0,53,75,53,0,75,0
1,1,0.561967134475708,0.4140625,128,0,53,75,53,0,75,0
1,2,0.45993149280548096,0.4140625,128,0,53,75,53,0,75,0
1,3,0.3427891731262207,0.6875,87,41,53,75,50,3,37,38
1,4,0.28459402918815613,0.703125,51,77,53,75,33,20,18,57
1,5,0.23319169878959656,0.703125,51,77,53,75,33,20,18,57
1,6,0.1877211034297943,0.7265625,52,76,53,75,35,18,17,58
1,7,0.16062398254871368,0.7421875,48,80,53,75,34,19,14,61
1,8,0.13563646376132965,0.734375,41,87,53,75,30,23,11,64
1,9,0.11185585707426071,0.734375,39,89,53,75,29,24,10,65
1,10,0.0961214229464531,0.7421875,42,86,53,75,31,22,11,64
1,11,0.08161436766386032,0.734375,51,77,53,75,35,18,16,59
1,12,0.06884285062551498,0.7265625,58,70,53,75,38,15,20,55
1,13,0.06012656167149544,0.703125,65,63,53,75,40,13,25,50
1,14,0.0519820861518383,0.6953125,70,58,53,75,42,11,28,47
1,15,0.04396689310669899,0.6875,71,57,53,75,42,11,29,46
1,16,0.038837458938360214,0.6953125,70,58,53,75,42,11,28,47
1,17,0.03420193865895271,0.6953125,70,58,53,75,42,11,28,47
1,18,0.029545119032263756,0.6875,67,61,53,75,40,13,27,48
1,19,0.025445586070418358,0.6875,65,63,53,75,39,14,26,49
1,20,0.02277587354183197,0.6875,63,65,53,75,38,15,25,50
1,21,0.02178841456770897,0.703125,59,69,53,75,37,16,22,53
1,22,0.018972208723425865,0.7109375,56,72,53,75,36,17,20,55
1,23,0.017569750547409058,0.71875,55,73,53,75,36,17,19,56
1,24,0.015740731731057167,0.7265625,52,76,53,75,35,18,17,58
1,25,0.014211690984666348,0.7265625,52,76,53,75,35,18,17,58
1,26,0.014060180634260178,0.7109375,50,78,53,75,33,20,17,58
1,27,0.01192440278828144,0.703125,49,79,53,75,32,21,17,58
1,28,0.010689038783311844,0.71875,47,81,53,75,32,21,15,60
1,29,0.010186765342950821,0.734375,45,83,53,75,32,21,13,62
1,30,0.009680268354713917,0.734375,45,83,53,75,32,21,13,62
1,31,0.00888363178819418,0.734375,45,83,53,75,32,21,13,62
1,32,0.008676163852214813,0.734375,45,83,53,75,32,21,13,62
1,33,0.008346554823219776,0.734375,45,83,53,75,32,21,13,62
