Fold,Epoch,Loss,Accuracy,Pred_Real,Pred_Fake,True_Real,True_Fake,TN,FP,FN,TP
1,0,0.8602063059806824,0.5859375,0,128,53,75,0,53,0,75
1,1,8.274452209472656,0.5859375,0,128,53,75,0,53,0,75
1,2,1.9750690460205078,0.5859375,0,128,53,75,0,53,0,75
1,3,0.7090948820114136,0.4140625,128,0,53,75,53,0,75,0
1,4,0.7173672318458557,0.4140625,128,0,53,75,53,0,75,0
1,5,0.7640793919563293,0.4140625,128,0,53,75,53,0,75,0
1,6,0.770818293094635,0.4140625,128,0,53,75,53,0,75,0
1,7,0.7553628087043762,0.4140625,128,0,53,75,53,0,75,0
1,8,0.7292763590812683,0.4140625,128,0,53,75,53,0,75,0
1,9,0.7133707404136658,0.4140625,128,0,53,75,53,0,75,0
1,10,0.6913533806800842,0.40625,127,1,53,75,52,1,75,0
1,11,0.6715340614318848,0.4140625,120,8,53,75,49,4,71,4
1,12,0.6513217687606812,0.4609375,106,22,53,75,45,8,61,14
1,13,0.6483567953109741,0.59375,89,39,53,75,45,8,44,31
1,14,0.6395359635353088,0.609375,87,41,53,75,45,8,42,33
1,15,0.6270274519920349,0.5625,83,45,53,75,40,13,43,32
1,16,0.6158534288406372,0.5703125,80,48,53,75,39,14,41,34
1,17,0.6038128733634949,0.59375,81,47,53,75,41,12,40,35
1,18,0.5942198634147644,0.6015625,80,48,53,75,41,12,39,36
1,19,0.5811519026756287,0.59375,77,51,53,75,39,14,38,37
1,20,0.5684707164764404,0.5859375,76,52,53,75,38,15,38,37
1,21,0.5601155161857605,0.578125,75,53,53,75,37,16,38,37
1,22,0.5578694343566895,0.578125,75,53,53,75,37,16,38,37
1,23,0.5347165465354919,0.5859375,74,54,53,75,37,16,37,38
1,24,0.5226181745529175,0.609375,73,55,53,75,38,15,35,40
1,25,0.5118305683135986,0.609375,73,55,53,75,38,15,35,40
1,26,0.5107265710830688,0.6015625,76,52,53,75,39,14,37,38
1,27,0.49965760111808777,0.609375,75,53,53,75,39,14,36,39
1,28,0.4852176904678345,0.6171875,76,52,53,75,40,13,36,39
1,29,0.4852958023548126,0.6171875,76,52,53,75,40,13,36,39
1,30,0.4733092486858368,0.6015625,76,52,53,75,39,14,37,38
1,31,0.4500654339790344,0.6015625,76,52,53,75,39,14,37,38
1,32,0.4399937689304352,0.6328125,74,54,53,75,40,13,34,41
1,33,0.442628413438797,0.6328125,74,54,53,75,40,13,34,41
1,34,0.435129314661026,0.640625,71,57,53,75,39,14,32,43
1,35,0.42017272114753723,0.6796875,66,62,53,75,39,14,27,48
1,36,0.4161783754825592,0.6875,65,63,53,75,39,14,26,49
1,37,0.4097708761692047,0.6796875,64,64,53,75,38,15,26,49
1,38,0.39090293645858765,0.6953125,62,66,53,75,38,15,24,51
1,39,0.39466825127601624,0.703125,61,67,53,75,38,15,23,52
1,40,0.3684242367744446,0.6875,63,65,53,75,38,15,25,50
1,41,0.3727565407752991,0.6875,63,65,53,75,38,15,25,50
1,42,0.35583752393722534,0.6875,63,65,53,75,38,15,25,50
1,43,0.3603263199329376,0.671875,63,65,53,75,37,16,26,49
1,44,0.350067138671875,0.671875,63,65,53,75,37,16,26,49
1,45,0.32920604944229126,0.671875,63,65,53,75,37,16,26,49
1,46,0.3316786587238312,0.671875,63,65,53,75,37,16,26,49
1,47,0.35245415568351746,0.6875,61,67,53,75,37,16,24,51
1,48,0.3222304880619049,0.6953125,60,68,53,75,37,16,23,52
1,49,0.32498034834861755,0.6875,61,67,53,75,37,16,24,51
2,0,0.7031362056732178,0.4094488188976378,127,0,52,75,52,0,75,0
2,1,7.635605335235596,0.4094488188976378,127,0,52,75,52,0,75,0
2,2,1.4936800003051758,0.7244094488188977,19,108,52,75,18,34,1,74
2,3,0.6592376232147217,0.5905511811023622,0,127,52,75,0,52,0,75
2,4,1.145714521408081,0.5905511811023622,0,127,52,75,0,52,0,75
2,5,0.9564598798751831,0.5984251968503937,1,126,52,75,1,51,0,75
2,6,0.7164371013641357,0.6062992125984252,4,123,52,75,3,49,1,74
2,7,0.5745701193809509,0.6614173228346457,13,114,52,75,11,41,2,73
2,8,0.5030263662338257,0.7637795275590551,36,91,52,75,29,23,7,68
2,9,0.47396376729011536,0.7795275590551181,34,93,52,75,29,23,5,70
2,10,0.42814892530441284,0.6614173228346457,13,114,52,75,11,41,2,73
2,11,0.4256640672683716,0.6929133858267716,15,112,52,75,14,38,1,74
2,12,0.3494422733783722,0.6929133858267716,15,112,52,75,14,38,1,74
2,13,0.30618414282798767,0.6614173228346457,11,116,52,75,10,42,1,74
2,14,0.2581996023654938,0.7007874015748031,16,111,52,75,15,37,1,74
2,15,0.23216331005096436,0.7322834645669292,20,107,52,75,19,33,1,74
2,16,0.20307870209217072,0.7480314960629921,22,105,52,75,21,31,1,74
2,17,0.1863175481557846,0.7795275590551181,26,101,52,75,25,27,1,74
2,18,0.17306318879127502,0.7874015748031497,27,100,52,75,26,26,1,74
2,19,0.1352783441543579,0.7952755905511811,28,99,52,75,27,25,1,74
2,20,0.12246885895729065,0.7795275590551181,30,97,52,75,27,25,3,72
2,21,0.11214456707239151,0.7795275590551181,32,95,52,75,28,24,4,71
