fold,train_acc,train_prec,train_rec,train_f1,test_acc,test_prec,test_rec,test_f1
1,0.8391451068616423,0.8250853242320819,0.9227099236641222,0.8711711711711712,0.6953125,0.7093023255813954,0.8133333333333334,0.7577639751552795
2,0.8437324339516582,0.8290598290598291,0.9255725190839694,0.8746618575293057,0.7559055118110236,0.75,0.88,0.8098159509202454
3,0.83867341202923,0.8216398985629755,0.9274809160305344,0.871358135365307,0.7480314960629921,0.7263157894736842,0.92,0.8117647058823529
4,0.8431703204047217,0.8272340425531914,0.9274809160305344,0.8744939271255061,0.7716535433070866,0.7804878048780488,0.8533333333333334,0.8152866242038217
5,0.83867341202923,0.8238297872340425,0.9236641221374046,0.8708951866846604,0.7559055118110236,0.7619047619047619,0.8533333333333334,0.8050314465408805
6,0.8459808881394042,0.8285229202037352,0.9312977099236641,0.8769092542677448,0.7716535433070866,0.7555555555555555,0.9066666666666666,0.8242424242424242
7,0.8375491849353569,0.821882951653944,0.924618320610687,0.8702290076335878,0.8031496062992126,0.8378378378378378,0.8266666666666667,0.8322147651006712
8,0.8431703204047217,0.8300429184549356,0.9227099236641222,0.8739267962042476,0.6771653543307087,0.6888888888888889,0.8266666666666667,0.7515151515151515
9,0.8448566610455311,0.8282312925170068,0.9293893129770993,0.8758992805755396,0.7716535433070866,0.7948717948717948,0.8266666666666667,0.8104575163398693
10,0.8414839797639123,0.8279109589041096,0.9227099236641222,0.8727436823104693,0.8031496062992126,0.8205128205128205,0.8533333333333334,0.8366013071895425
11,0.8369870713884204,0.8217317487266553,0.9236641221374046,0.8697214734950584,0.7637795275590551,0.7922077922077922,0.8133333333333334,0.8026315789473685
12,0.8397976391231029,0.8263473053892215,0.9217557251908397,0.871447902571042,0.7874015748031497,0.7857142857142857,0.88,0.8301886792452831
13,0.836424957841484,0.8248927038626609,0.9169847328244275,0.868504292815183,0.7322834645669292,0.7469879518072289,0.8266666666666667,0.7848101265822784
14,0.8392355255761664,0.8197820620284996,0.9323164918970448,0.872435325602141,0.7401574803149606,0.7411764705882353,0.8513513513513513,0.7924528301886793
15,0.8448566610455311,0.8261603375527427,0.9332697807435653,0.8764547896150403,0.8031496062992126,0.8024691358024691,0.8783783783783784,0.8387096774193549
