fold,train_acc,train_prec,train_rec,train_f1,test_acc,test_prec,test_rec,test_f1,acc_gap,f1_gap
1,0.8228346456692913,0.80720871751886,0.9188931297709924,0.8594377510040161,0.640625,0.6666666666666666,0.7733333333333333,0.7160493827160493,0.18220964566929132,0.14338836828796675
2,0.8251826869027543,0.8073394495412844,0.9236641221374046,0.8615932354250111,0.7716535433070866,0.7674418604651163,0.88,0.8198757763975155,0.05352914359566774,0.041717459027495574
3,0.821247892074199,0.8036605657237936,0.9217557251908397,0.8586666666666667,0.7244094488188977,0.7272727272727273,0.8533333333333334,0.7852760736196319,0.09683844325530133,0.07339059304703477
4,0.821247892074199,0.8072390572390572,0.9150763358778626,0.8577817531305904,0.7559055118110236,0.7682926829268293,0.84,0.802547770700637,0.0653423802631754,0.055233982429953365
5,0.8195615514333895,0.802161263507897,0.9208015267175572,0.8573967125721902,0.7244094488188977,0.7272727272727273,0.8533333333333334,0.7852760736196319,0.09515210261449181,0.07212063895255827
6,0.8251826869027543,0.8094038623005877,0.9198473282442748,0.8610987047789191,0.7795275590551181,0.7640449438202247,0.9066666666666666,0.8292682926829268,0.04565512784763626,0.031830412095992355
7,0.8128161888701517,0.796188898094449,0.9169847328244275,0.8523281596452328,0.7637795275590551,0.8,0.8,0.8,0.04903666131109663,0.05232815964523274
8,0.8218100056211355,0.8053467000835421,0.9198473282442748,0.8587973273942093,0.6771653543307087,0.6931818181818182,0.8133333333333334,0.7484662576687117,0.1446446512904268,0.11033106972549767
9,0.821247892074199,0.803156146179402,0.9227099236641222,0.8587921847246892,0.7637795275590551,0.7777777777777778,0.84,0.8076923076923077,0.05746836451514392,0.0510998770323815
10,0.8246205733558178,0.8087248322147651,0.9198473282442748,0.8607142857142858,0.8110236220472441,0.8148148148148148,0.88,0.8461538461538461,0.013596951308573746,0.01456043956043962
11,0.8178752107925801,0.8006644518272426,0.9198473282442748,0.8561278863232682,0.7559055118110236,0.7682926829268293,0.84,0.802547770700637,0.061969698981556465,0.05358011562263121
12,0.8184373243395165,0.8038558256496228,0.9150763358778626,0.8558679161088799,0.7874015748031497,0.7790697674418605,0.8933333333333333,0.8322981366459627,0.031035749536366897,0.023569779462917162
13,0.8246205733558178,0.8061564059900166,0.924618320610687,0.8613333333333333,0.7244094488188977,0.7380952380952381,0.8266666666666667,0.779874213836478,0.10021112453692016,0.08145911949685525
14,0.821247892074199,0.8003286770747741,0.9285033365109628,0.8596646072374228,0.7559055118110236,0.7415730337078652,0.8918918918918919,0.8098159509202454,0.0653423802631754,0.04984865631717739
15,0.8251826869027543,0.8064784053156147,0.9256434699714013,0.8619618286728806,0.8188976377952756,0.8072289156626506,0.9054054054054054,0.8535031847133758,0.006285049107478735,0.008458643959504797
mean,0.8215410468295173,0.8045275505507272,0.9208744181420813,0.8587708235154395,0.750319881889764,0.756068377135543,0.853153153153153,0.8012430025378637,0.07122116493975339,0.057527820977575805
