video_id,description,annotation,user_certify,user_description,publish_time,event,transcript,tokens,token_count,similarity_to_rest,avg_rarity
7281115270247189806,Pope Francis repeatedly pulled his hand away when worshippers attempted to kiss his papal ring at the Holy House of Loreto in Italy. Kissing the papal ring is traditionally seen as a sign of respect for the office!🫣 Pope Francis clarified that it was a fear of spreading germs that provoked him to yank his hand away from the lips of devoted worshippers as they bent down to kiss his ring. 💍  What are your thoughts?🤔 🎥: @vaticannews #pope #popefrancis,real,0.0,"#1 Source For Useful Business, 
Tech & Entertainment News!🔮 
IG: @intels",2023-09-21 03:26:03,Pope Francis dancing merengue,"The video shows Pope Francis doing handshakes to people with a caption of “Pope Francis Repeatedly Pulled His Hand Away From Worshippers Trying To Kiss His Papal Ring”
","['video', 'shows', 'pope', 'francis', 'handshakes', 'people', 'caption', 'pope', 'francis', 'repeatedly', 'pulled', 'hand', 'away', 'worshippers', 'trying', 'kiss', 'papal', 'ring']",181,0.015071869038432047,82252.36464088398
7333850646103428394,#georgelopez #trump,real,0.0,"🇺🇲🇺🇲🇺🇲MICHOACAN🇲🇽🇲🇽🇲🇽
 FRESNO CALIFORNIA",2024-02-10 06:06:49,George Lopez urinate on President Donald Trump,"George Lopez on Trump.
I have to say I'm surprised that somebody can be so racially out with their views targeted toward people. I don't think of him much as a President, and I think less of him as a man.
And what do you make of the fact that there's a real possibility, a real possibility, he could be reelected?
He could actually be President again. And, I said I was going to leave country the first time, not until I pay all my taxes, I'm not upstaging.
But I just think it's beneath what America has stood for.","['george', 'lopez', 'trump', 'say', 'im', 'surprised', 'somebody', 'racially', 'views', 'targeted', 'toward', 'people', 'dont', 'think', 'much', 'president', 'think', 'less', 'man', 'make', 'fact', 'theres', 'real', 'possibility', 'real', 'possibility', 'could', 'reelected', 'could', 'actually', 'president', 'said', 'going', 'leave', 'country', 'first', 'time', 'pay', 'taxes', 'im', 'upstaging', 'think', 'beneath', 'america', 'stood']",438,0.027139995802196015,85266.74429223745
7266987502873939202,#ufo #ufos #alien #alienbff #ufosky #ufosighting #ufotiktok #ufoalien #supernatural #supernaturaledit #trend #trend2023 #trend2023tiktok #xuhuong2023 #xuhuong #alienigenas #super #aliens #angel #roswell #american #japan #spain #moscow #england #italy #korea #canada #australia #thai #russia #mexico #switzerland #england #vietnam #brazil #england  #brazil  #malaysia #singapore #china #columbia #philippines #dailoan🇻🇳🇹🇼 #switchthechobaniflip #germany #france #iran #thailand🇹🇭 #argentina,fake,0.0,https://www.blogger.com,2023-08-14 01:43:08,"Thailand's alien-like creature,Chay Na, near cave",This video shows multiple UFOs being seen together in Russia,"['video', 'shows', 'multiple', 'ufos', 'seen', 'together', 'russia']",68,0.017708858033715313,83672.92647058824
7123303022544964907,"Lightning strikes a wind turbine during a thunderstorm south of Crowell, Texas #BigInkEnergy #weneedrain #lightning #windturbine #fyp #farmtok #ruraltexas #texas #thunderstorm",real,0.0,"Just sharing our freeloader farm, my favorite sports & hunting for 10k followers",2022-07-22 20:53:52,A wind turbine being destroyed during a major storm,This video shows a lightning striking a wind turbine during a thunderstorm in Texas ,"['video', 'shows', 'lightning', 'striking', 'wind', 'turbine', 'thunderstorm', 'texas']",87,0.01572873439184134,77612.54022988505
7206561064639647003,"In March 2019, a P-3C from the Pakistan Naval Air Arm intercepted an Indian submarine attempting to enter Pakistani waters at night. In October 2021, Pakistani Orions again intercepted an Indian Kalvari class submarine and blocked it from entering Pakistani Waters at the Arabian Sea. #paknavy #pakarmy #pakistanzindabad #fyp #foryou ",real,0.0,"A guy who loves to travel with his cams.
Pakistan Navy and Army Aviation🇵🇰",2023-03-04 05:37:40,an Indian air strike against a militant camp in Pakistan in February 2019,"All praise is for Allah Subhanahu and Ta'ala who gives fate. Our success and defeating the enemies are all due to that generous God who teaches us wisdom and exposes the tricks of the enemies.
O our Lord, we swear by you, for the sake of you giving us the best guidance.","['praise', 'allah', 'subhanahu', 'taala', 'gives', 'fate', 'success', 'defeating', 'enemies', 'due', 'generous', 'god', 'teaches', 'us', 'wisdom', 'exposes', 'tricks', 'enemies', 'lord', 'swear', 'sake', 'giving', 'us', 'best', 'guidance']",239,0.0051890743942187775,86874.65271966528
7281038330848922922,"Pakistan Stands Up For Canada Amid Diplomatic Battle With India #canada #india #pakistan  India is warning its citizens traveling to Canada or living in Canada to exercise the utmost caution. They issued this warning in light of what they call “anti-India activities and politically-condoned hate crimes and criminal violence in Canada”. Adding that any Indians who oppose the “anti-India agenda” in Canada face threats. India, who murdered a Canadian citizen, continues to play the victim. The investigation that caught India was initially thought to be headed by the CIA and Canada, but a western intelligence official dropped a not-so-subtle hint that all of 5 eyes has been investigating the murder. Pakistan has something to say about all of this though, saying “India's terrorism in Canada is not a matter of surprise” Adding “If anyone in the world is aware of Indian terrorism, it is us” Yesterday they said India was a “terrorist and rogue state”, and asked ""how long will our friends in the West continue to ignore such acts from India?”",real,1.0,A dad who covers the news for you. Quickies here. Daily Deep Dives on YT.,2023-09-20 22:27:27,an Indian air strike against a militant camp in Pakistan in February 2019,"India is warning its citizens traveling to Canada or living in Canada to exercise the utmost caution. With them issuing this warning in light of what they call anti-India activities and politically condoned hate crimes and criminal violence in Canada. And adding that any Indians who oppose the anti-India agenda in Canada face threats. And this is India who is believed to have murdered a Canadian citizen continues to play the victim. With reportedly the investigation that caught India being initially thought to be headed by the CIA in Canada, but a Western intelligence official dropped a not so huddle hint that all of Five Eyes has been investigating the murder. Pakistan also has something to say about this though, saying,
in Canada is not a matter of surprise. And adding, anyone in the world is aware of Indian terrorism, it is us. And yesterday they said India was a terrorist and rogue state and asked how long will our friends in the West continue to ignore such acts from India. Bala to stay in the loop.

","['india', 'warning', 'citizens', 'traveling', 'canada', 'living', 'canada', 'exercise', 'utmost', 'caution', 'issuing', 'warning', 'light', 'call', 'antiindia', 'activities', 'politically', 'condoned', 'hate', 'crimes', 'criminal', 'violence', 'canada', 'adding', 'indians', 'oppose', 'antiindia', 'agenda', 'canada', 'face', 'threats', 'india', 'believed', 'murdered', 'canadian', 'citizen', 'continues', 'play', 'victim', 'reportedly', 'investigation', 'caught', 'india', 'initially', 'thought', 'headed', 'cia', 'canada', 'western', 'intelligence', 'official', 'dropped', 'huddle', 'hint', 'five', 'eyes', 'investigating', 'murder', 'pakistan', 'also', 'something', 'say', 'though', 'saying', 'canada', 'matter', 'surprise', 'adding', 'anyone', 'world', 'aware', 'indian', 'terrorism', 'us', 'yesterday', 'said', 'india', 'terrorist', 'rogue', 'state', 'asked', 'long', 'friends', 'west', 'continue', 'ignore', 'acts', 'india', 'bala', 'stay', 'loop']",954,0.009339480958004681,82972.78406708596
6687587479509273861,Jimmy Fallon ripped of Donald trumps toupee,fake,0.0,,2019-05-05 16:54:58,Trump toupee video,This video is showing Jimmy Fallon shaking the hair of Donald Trump.,"['video', 'showing', 'jimmy', 'fallon', 'shaking', 'hair', 'donald', 'trump']",77,0.017774250643683282,80445.76623376623
7064619747995897134,What the hell is she talking about? #pelosi. #drunk. #clueless,fake,0.0,A woman with opinions. Doc producer.on RX abuse/addiction/medical freedom,2022-02-14 17:32:44,Pelosi drunk video,"The video shows an interview with a woman and man saying “Let’s talk about the situation here at home, families are feeling the highest inflation in 40 years right now costing the average american family about 275 dollars a month, what can congress do right now to bring those cost down?” , “Well, let me just talk about the inflation because people are saying well we’re spending it’s causing.. The fact that people have jobs always contributes to an increase in inflation and that’s a good thing but inflation is not a good thing, you know we have to contain…” , “The wages are not keeping up with the prices” , “That’s right”
","['video', 'shows', 'interview', 'woman', 'man', 'saying', 'lets', 'talk', 'situation', 'home', 'families', 'feeling', 'highest', 'inflation', '40', 'years', 'right', 'costing', 'average', 'american', 'family', '275', 'dollars', 'month', 'congress', 'right', 'bring', 'cost', 'well', 'let', 'talk', 'inflation', 'people', 'saying', 'well', 'spending', 'causing', 'fact', 'people', 'jobs', 'always', 'contributes', 'increase', 'inflation', 'thats', 'good', 'thing', 'inflation', 'good', 'thing', 'know', 'contain', 'wages', 'keeping', 'prices', 'thats', 'right']",560,0.021681690960265263,84659.54464285714
7150772309781957934,Pelosi is drunk again #pelosi #colbert #colbertlateshow #nancypelosi,fake,0.0,"Top Political Shorts of the Day 🇺🇸
👇 Check out these great deals🔥 👇",2022-10-04 21:28:49,Pelosi drunk video,"The video shows an interview saying “What is your prediction for the election that’s a little bit more than a month away?” , “Well, I’m so glad you asked that question, because I believe that we will win the, hold the House. And we will hold the House by winning more seats, we won the 40 seats then we lost some when Trump was on the ballot, we lost some of the Trump districts, he’s not on the ballot now. Oh, did I say his name? I didn’t mean to”
","['video', 'shows', 'interview', 'saying', 'prediction', 'election', 'thats', 'little', 'bit', 'month', 'away', 'well', 'im', 'glad', 'asked', 'question', 'believe', 'win', 'hold', 'house', 'hold', 'house', 'winning', 'seats', '40', 'seats', 'lost', 'trump', 'ballot', 'lost', 'trump', 'districts', 'hes', 'ballot', 'oh', 'say', 'name', 'didnt', 'mean']",352,0.02312419491348984,88998.92613636363
7273527966674521386,#onthisday hurricane dorian idalia peppa pig florida foryoupage,real,0.0,"Skabordingus Floridensis
INFP-T ☀️♓️ 🌖♏️",2023-08-31 16:43:26,Hurricane Dorian approaching Florida in summer 2019,"We are tracking powerful Hurricane Dourrian and this is going to continue to be a menacing storm. Take a look at how it has strengthened over the past 18 to 24 hours. We have a very well defined eye and Peppa, what are you doing? That hurricane.","['tracking', 'powerful', 'hurricane', 'dourrian', 'going', 'continue', 'menacing', 'storm', 'take', 'look', 'strengthened', 'past', '18', '24', 'hours', 'well', 'defined', 'eye', 'peppa', 'hurricane']",200,0.009430620472730898,82970.075
