fold,best_alpha,best_thresh,train_acc,train_prec,train_rec,train_f1,test_acc,test_prec,test_rec,test_f1,oob
1,0.8,0.5400000000000001,0.9977502812148481,0.9971428571428571,0.9990458015267175,0.998093422306959,0.7578125,0.8055555555555556,0.7733333333333333,0.7891156462585034,0.8093363329583803
2,0.8,0.4800000000000001,0.9971894322653176,0.9971401334604385,0.9980916030534351,0.9976156413924654,0.8267716535433071,0.7912087912087912,0.96,0.8674698795180723,0.8100056211354694
3,0.8,0.5300000000000001,0.9977515458122541,0.9980916030534351,0.9980916030534351,0.9980916030534351,0.8346456692913385,0.8552631578947368,0.8666666666666667,0.8609271523178808,0.8066329398538504
4,0.8,0.44000000000000006,0.9966273187183811,0.9971374045801527,0.9971374045801527,0.9971374045801527,0.8188976377952756,0.776595744680851,0.9733333333333334,0.863905325443787,0.8100056211354694
5,0.8,0.5400000000000001,0.9977515458122541,0.9971428571428571,0.9990458015267175,0.998093422306959,0.8188976377952756,0.8421052631578947,0.8533333333333334,0.847682119205298,0.807195053400787
6,0.8,0.4800000000000001,0.9977515458122541,0.9971428571428571,0.9990458015267175,0.998093422306959,0.8740157480314961,0.8390804597701149,0.9733333333333334,0.9012345679012346,0.8026981450252951
7,0.8,0.5200000000000001,0.9971894322653176,0.9971401334604385,0.9980916030534351,0.9976156413924654,0.8818897637795275,0.8947368421052632,0.9066666666666666,0.9006622516556292,0.8055087127599775
8,0.8,0.5200000000000001,0.9977515458122541,0.9980916030534351,0.9980916030534351,0.9980916030534351,0.7322834645669292,0.759493670886076,0.8,0.7792207792207793,0.8094435075885329
9,0.8,0.5300000000000001,0.9977515458122541,0.9971428571428571,0.9990458015267175,0.998093422306959,0.84251968503937,0.8767123287671232,0.8533333333333334,0.8648648648648649,0.807195053400787
10,0.8,0.4800000000000001,0.9977515458122541,0.9971428571428571,0.9990458015267175,0.998093422306959,0.8582677165354331,0.8518518518518519,0.92,0.8846153846153846,0.8055087127599775
11,0.8,0.4900000000000001,0.9971894322653176,0.9961941008563273,0.9990458015267175,0.9976179132920439,0.8346456692913385,0.8461538461538461,0.88,0.8627450980392157,0.807195053400787
12,0.8,0.5,0.9966273187183811,0.9961904761904762,0.9980916030534351,0.9971401334604385,0.8346456692913385,0.8214285714285714,0.92,0.8679245283018868,0.8038223721191681
13,0.8,0.4800000000000001,0.9977515458122541,0.9980916030534351,0.9980916030534351,0.9980916030534351,0.8031496062992126,0.7840909090909091,0.92,0.8466257668711656,0.807195053400787
14,0.8,0.5300000000000001,0.9983136593591906,0.997148288973384,1.0,0.9985721085197525,0.8188976377952756,0.8227848101265823,0.8783783783783784,0.8496732026143791,0.8055087127599775
15,0.8,0.5800000000000002,0.9977515458122541,0.9962013295346629,1.0,0.9980970504281637,0.8582677165354331,0.9117647058823529,0.8378378378378378,0.8732394366197183,0.804946599213041
