fold,best_alpha,best_thresh,train_acc,train_prec,train_rec,train_f1,test_acc,test_prec,test_rec,test_f1,oob
1,0.8,0.5600000000000002,0.9915635545556806,0.988647114474929,0.9971374045801527,0.9928741092636579,0.7578125,0.8333333333333334,0.7333333333333333,0.7801418439716312,0.8127109111361079
2,0.8,0.4700000000000001,0.9921304103428893,0.9886578449905482,0.9980916030534351,0.99335232668566,0.8110236220472441,0.7741935483870968,0.96,0.8571428571428571,0.80831928049466
3,0.8,0.5300000000000001,0.9915682967959528,0.987724268177526,0.9980916030534351,0.9928808732795443,0.84251968503937,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8043844856661045
4,0.8,0.42000000000000004,0.9921304103428893,0.9886578449905482,0.9980916030534351,0.99335232668566,0.8031496062992126,0.75,1.0,0.8571428571428571,0.8100056211354694
5,0.8,0.5700000000000002,0.9921304103428893,0.9886578449905482,0.9980916030534351,0.99335232668566,0.8188976377952756,0.8714285714285714,0.8133333333333334,0.8413793103448276,0.8026981450252951
6,0.8,0.5,0.9926925238898258,0.9895931882686849,0.9980916030534351,0.9938242280285036,0.8740157480314961,0.8470588235294118,0.96,0.9,0.7970770095559303
7,0.8,0.5600000000000002,0.9938167509836987,0.9914691943127962,0.9980916030534351,0.9947693770803614,0.8818897637795275,0.9285714285714286,0.8666666666666667,0.896551724137931,0.8032602585722316
8,0.8,0.5100000000000001,0.9932546374367622,0.9896030245746692,0.9990458015267175,0.9943019943019943,0.7244094488188977,0.7439024390243902,0.8133333333333334,0.7770700636942676,0.8111298482293423
9,0.8,0.5100000000000001,0.9921304103428893,0.9886578449905482,0.9980916030534351,0.99335232668566,0.84251968503937,0.8767123287671232,0.8533333333333334,0.8648648648648649,0.8100056211354694
10,0.8,0.4800000000000001,0.9921304103428893,0.9877358490566037,0.9990458015267175,0.9933586337760911,0.8740157480314961,0.8554216867469879,0.9466666666666667,0.8987341772151899,0.8088813940415964
11,0.8,0.5400000000000001,0.9921304103428893,0.9886578449905482,0.9980916030534351,0.99335232668566,0.8267716535433071,0.8840579710144928,0.8133333333333334,0.8472222222222222,0.8038223721191681
12,0.8,0.5,0.9932546374367622,0.990530303030303,0.9980916030534351,0.9942965779467681,0.8346456692913385,0.8214285714285714,0.92,0.8679245283018868,0.8021360314783587
13,0.8,0.5300000000000001,0.9926925238898258,0.9886685552407932,0.9990458015267175,0.9938300901756051,0.8110236220472441,0.8311688311688312,0.8533333333333334,0.8421052631578947,0.8088813940415964
14,0.8,0.5300000000000001,0.9932546374367622,0.9896128423040604,0.9990467111534795,0.9943074003795066,0.8110236220472441,0.8125,0.8783783783783784,0.8441558441558441,0.80831928049466
15,0.8,0.6000000000000002,0.9938167509836987,0.9896226415094339,1.0,0.9947842579421526,0.8818897637795275,0.9402985074626866,0.8513513513513513,0.8936170212765957,0.80831928049466
