n_estimators,max_depth,min_samples_split,min_samples_leaf,max_samples,max_features,class_weight,train_acc,test_acc,gap,f1_test,oob
1500,10,10,2,0.8,sqrt,balanced,0.8307086614173228,0.6953125,0.1353961614173228,0.7636363636363637,0.7525309336332958
2000,16,10,4,0.9,sqrt,balanced,0.8374578177727784,0.6875,0.1499578177727784,0.7530864197530864,0.7564679415073116
300,24,15,3,0.7,sqrt,balanced,0.8633295838020247,0.6875,0.17582958380202474,0.7530864197530864,0.7637795275590551
300,18,10,4,0.85,sqrt,balanced,0.8385826771653543,0.6796875,0.15889517716535428,0.7484662576687117,0.7581552305961755
300,18,5,4,1.0,sqrt,balanced,0.8475815523059618,0.6796875,0.16789405230596177,0.7484662576687117,0.750843644544432
2700,18,10,3,0.85,sqrt,balanced_subsample,0.8537682789651294,0.6796875,0.1740807789651294,0.7453416149068323,0.7637795275590551
1500,24,15,2,0.85,sqrt,balanced,0.889763779527559,0.6796875,0.21007627952755903,0.7453416149068323,0.7750281214848144
1500,30,15,2,0.7,sqrt,balanced,0.8942632170978627,0.6796875,0.21457571709786272,0.7484662576687117,0.7750281214848144
700,16,5,4,0.85,sqrt,balanced,0.8391451068616423,0.671875,0.16727010686164234,0.7439024390243902,0.7536557930258717
2700,10,15,3,0.7,sqrt,balanced_subsample,0.81214848143982,0.6640625,0.14808598143982,0.7361963190184049,0.7457817772778402
2700,10,5,4,0.85,sqrt,balanced,0.8127109111361079,0.6640625,0.14864841113610794,0.7425149700598802,0.7384701912260967
1500,18,15,3,0.7,log2,balanced_subsample,0.8278965129358831,0.6640625,0.16383401293588307,0.7361963190184049,0.7525309336332958
2000,24,5,4,1.0,log2,balanced_subsample,0.8385826771653543,0.6640625,0.17452017716535428,0.7329192546583851,0.7632170978627671
1500,10,15,4,0.9,sqrt,balanced_subsample,0.8093363329583803,0.65625,0.15308633295838026,0.7317073170731707,0.7384701912260967
2700,10,10,4,0.9,sqrt,balanced_subsample,0.8127109111361079,0.65625,0.15646091113610794,0.7317073170731707,0.7418447694038245
2700,10,10,3,0.8,log2,balanced,0.8138357705286839,0.65625,0.15758577052868394,0.7349397590361446,0.749156355455568
2000,10,5,3,0.9,sqrt,balanced,0.8233970753655793,0.65625,0.16714707536557927,0.7317073170731707,0.750281214848144
1500,18,15,4,0.7,log2,balanced_subsample,0.8256467941507312,0.65625,0.16939679415073117,0.7317073170731707,0.749156355455568
2000,16,10,3,0.9,log2,balanced,0.8307086614173228,0.65625,0.1744586614173228,0.7317073170731707,0.7525309336332958
2000,30,15,3,0.85,log2,balanced,0.8487064116985377,0.65625,0.19245641169853767,0.725,0.7739032620922385
2000,30,10,2,0.8,log2,balanced_subsample,0.8526434195725534,0.65625,0.1963934195725534,0.7283950617283951,0.7722159730033745
300,30,15,4,1.0,sqrt,balanced,0.8695163104611924,0.65625,0.21326631046119238,0.7283950617283951,0.7677165354330708
300,10,15,3,0.85,log2,balanced_subsample,0.8104611923509561,0.6484375,0.16202369235095615,0.7239263803680982,0.7457817772778402
1500,10,10,4,0.85,sqrt,balanced_subsample,0.8110236220472441,0.6484375,0.1625861220472441,0.7272727272727273,0.7384701912260967
700,24,5,4,0.7,log2,balanced,0.8335208098987626,0.6484375,0.18508330989876265,0.7204968944099379,0.7519685039370079
700,24,15,4,0.8,log2,balanced,0.8340832395950506,0.6484375,0.1856457395950506,0.7204968944099379,0.7626546681664792
2700,18,15,2,0.8,log2,balanced_subsample,0.8391451068616423,0.6484375,0.19070760686164234,0.7272727272727273,0.7626546681664792
700,18,15,4,1.0,log2,balanced,0.8301462317210349,0.640625,0.18952123172103486,0.7195121951219512,0.7474690663667042
700,24,5,2,0.85,log2,balanced_subsample,0.8498312710911136,0.640625,0.20920627109111356,0.7228915662650602,0.7649043869516311
2700,16,10,4,0.9,log2,balanced_subsample,0.8245219347581553,0.6328125,0.19170943475815527,0.7116564417177914,0.7525309336332958
