Fold,Epoch,Train_Loss,Test_Loss,Train_Acc,Test_Acc,Precision,Recall,Train_CM,Test_CM
1,0,0.8596239686012268,0.9238131046295166,0.595050618672666,0.5859375,0.5859375,1.0,"[[29, 701], [19, 1029]]","[[0, 53], [0, 75]]"
1,1,0.9057434797286987,0.8415905237197876,0.6152980877390326,0.6015625,0.5983606557377049,0.9733333333333334,"[[93, 637], [47, 1001]]","[[4, 49], [2, 73]]"
1,2,0.8241550922393799,0.6773344874382019,0.670978627671541,0.609375,0.6865671641791045,0.6133333333333333,"[[461, 269], [316, 732]]","[[32, 21], [29, 46]]"
1,3,0.6428874135017395,0.6627558469772339,0.6001124859392576,0.546875,0.7428571428571429,0.3466666666666667,"[[638, 92], [619, 429]]","[[44, 9], [49, 26]]"
1,4,0.6586430072784424,0.6584402918815613,0.6068616422947132,0.5625,0.7878787878787878,0.3466666666666667,"[[668, 62], [637, 411]]","[[46, 7], [49, 26]]"
1,5,0.630110502243042,0.61872398853302,0.6552305961754781,0.5703125,0.7631578947368421,0.38666666666666666,"[[639, 91], [522, 526]]","[[44, 9], [46, 29]]"
1,6,0.5914784073829651,0.606330931186676,0.71822272215973,0.6328125,0.7692307692307693,0.5333333333333333,"[[585, 145], [356, 692]]","[[41, 12], [35, 40]]"
1,7,0.5757285356521606,0.611454963684082,0.7570303712035995,0.6875,0.7464788732394366,0.7066666666666667,"[[521, 209], [223, 825]]","[[35, 18], [22, 53]]"
1,8,0.5859024524688721,0.5849400758743286,0.7604049493813273,0.71875,0.7671232876712328,0.7466666666666667,"[[536, 194], [232, 816]]","[[36, 17], [19, 56]]"
1,9,0.5441276431083679,0.5597507953643799,0.7553430821147357,0.703125,0.7936507936507936,0.6666666666666666,"[[582, 148], [287, 761]]","[[40, 13], [25, 50]]"
1,10,0.5296960473060608,0.5639585852622986,0.7446569178852643,0.6875,0.8571428571428571,0.56,"[[638, 92], [362, 686]]","[[46, 7], [33, 42]]"
1,11,0.5589609742164612,0.5636565685272217,0.7424071991001124,0.6953125,0.875,0.56,"[[643, 87], [371, 677]]","[[47, 6], [33, 42]]"
1,12,0.5281695127487183,0.5540742874145508,0.749718785151856,0.703125,0.8245614035087719,0.6266666666666667,"[[617, 113], [332, 716]]","[[43, 10], [28, 47]]"
1,13,0.5081421136856079,0.5522090196609497,0.7632170978627671,0.703125,0.8032786885245902,0.6533333333333333,"[[592, 138], [283, 765]]","[[41, 12], [26, 49]]"
1,14,0.49802300333976746,0.5620536804199219,0.7755905511811023,0.6875,0.7777777777777778,0.6533333333333333,"[[574, 156], [243, 805]]","[[39, 14], [26, 49]]"
1,15,0.4948587417602539,0.5654914379119873,0.7772778402699663,0.6875,0.7777777777777778,0.6533333333333333,"[[572, 158], [238, 810]]","[[39, 14], [26, 49]]"
1,16,0.5091699957847595,0.5614805221557617,0.7761529808773904,0.6875,0.7777777777777778,0.6533333333333333,"[[583, 147], [251, 797]]","[[39, 14], [26, 49]]"
1,17,0.49069565534591675,0.5551227331161499,0.7789651293588301,0.7109375,0.8392857142857143,0.6266666666666667,"[[609, 121], [272, 776]]","[[44, 9], [28, 47]]"
