Fold,Epoch,Loss,Accuracy,Pred_Real,Pred_Fake,True_Real,True_Fake,TN,FP,FN,TP
1,0,0.7010394930839539,0.4140625,128,0,53,75,53,0,75,0
1,1,1.94668710231781,0.5859375,0,128,53,75,0,53,0,75
1,2,0.34924155473709106,0.5859375,0,128,53,75,0,53,0,75
1,3,0.7065222263336182,0.5859375,0,128,53,75,0,53,0,75
1,4,0.2409559190273285,0.5859375,0,128,53,75,0,53,0,75
1,5,0.21342580020427704,0.5859375,0,128,53,75,0,53,0,75
1,6,0.23803454637527466,0.5859375,0,128,53,75,0,53,0,75
1,7,0.23555566370487213,0.5859375,0,128,53,75,0,53,0,75
1,8,0.21199160814285278,0.5859375,0,128,53,75,0,53,0,75
1,9,0.19315674901008606,0.5859375,0,128,53,75,0,53,0,75
1,10,0.1792590171098709,0.5859375,0,128,53,75,0,53,0,75
1,11,0.16810104250907898,0.5859375,0,128,53,75,0,53,0,75
1,12,0.15384440124034882,0.5859375,0,128,53,75,0,53,0,75
1,13,0.1377137303352356,0.5859375,0,128,53,75,0,53,0,75
1,14,0.12024243921041489,0.5859375,0,128,53,75,0,53,0,75
1,15,0.10433480888605118,0.5859375,0,128,53,75,0,53,0,75
1,16,0.08982691913843155,0.5859375,0,128,53,75,0,53,0,75
1,17,0.07965674251317978,0.5859375,0,128,53,75,0,53,0,75
1,18,0.07135674357414246,0.6015625,2,126,53,75,2,51,0,75
1,19,0.06431113183498383,0.609375,3,125,53,75,3,50,0,75
1,20,0.057248786091804504,0.6171875,4,124,53,75,4,49,0,75
1,21,0.050114888697862625,0.6328125,6,122,53,75,6,47,0,75
1,22,0.04371217265725136,0.6640625,10,118,53,75,10,43,0,75
1,23,0.03846340253949165,0.6640625,16,112,53,75,13,40,3,72
1,24,0.0353749543428421,0.65625,17,111,53,75,13,40,4,71
1,25,0.032122764736413956,0.6640625,18,110,53,75,14,39,4,71
1,26,0.029488572850823402,0.703125,23,105,53,75,19,34,4,71
1,27,0.0264427550137043,0.7109375,26,102,53,75,21,32,5,70
1,28,0.02455148659646511,0.7265625,30,98,53,75,24,29,6,69
1,29,0.022668633610010147,0.71875,35,93,53,75,26,27,9,66
1,30,0.02055511437356472,0.7109375,38,90,53,75,27,26,11,64
1,31,0.018580520525574684,0.71875,39,89,53,75,28,25,11,64
1,32,0.017162302508950233,0.7109375,42,86,53,75,29,24,13,62
1,33,0.01609409973025322,0.71875,45,83,53,75,31,22,14,61
