Fold,Epoch,Loss,Accuracy,Pred_Real,Pred_Fake,True_Real,True_Fake,TN,FP,FN,TP
1,0,0.9004450440406799,0.4140625,128,0,53,75,53,0,75,0
1,1,49.88138198852539,0.4140625,128,0,53,75,53,0,75,0
1,2,12.319395065307617,0.4140625,128,0,53,75,53,0,75,0
1,3,1.4318411350250244,0.5859375,0,128,53,75,0,53,0,75
1,4,1.822006106376648,0.5859375,0,128,53,75,0,53,0,75
1,5,1.399062991142273,0.5859375,0,128,53,75,0,53,0,75
1,6,1.0800299644470215,0.5859375,0,128,53,75,0,53,0,75
1,7,0.9400940537452698,0.625,23,105,53,75,14,39,9,66
1,8,0.8381039500236511,0.5078125,86,42,53,75,38,15,48,27
1,9,0.7826817631721497,0.6171875,68,60,53,75,36,17,32,43
1,10,0.6832634806632996,0.6328125,70,58,53,75,38,15,32,43
1,11,0.6153945922851562,0.59375,87,41,53,75,44,9,43,32
1,12,0.5664927959442139,0.625,79,49,53,75,42,11,37,38
1,13,0.5120350122451782,0.6328125,84,44,53,75,45,8,39,36
1,14,0.4715723693370819,0.640625,89,39,53,75,48,5,41,34
1,15,0.4524899125099182,0.671875,79,49,53,75,45,8,34,41
1,16,0.42071717977523804,0.65625,83,45,53,75,46,7,37,38
1,17,0.38052958250045776,0.6796875,78,50,53,75,45,8,33,42
1,18,0.3448786437511444,0.6953125,70,58,53,75,42,11,28,47
1,19,0.32292425632476807,0.6875,73,55,53,75,43,10,30,45
1,20,0.30614522099494934,0.75,57,71,53,75,39,14,18,57
1,21,0.26035863161087036,0.75,49,79,53,75,35,18,14,61
1,22,0.22787627577781677,0.7421875,46,82,53,75,33,20,13,62
1,23,0.23177102208137512,0.7265625,34,94,53,75,26,27,8,67
1,24,0.20730625092983246,0.71875,39,89,53,75,28,25,11,64
1,25,0.1788448542356491,0.7109375,44,84,53,75,30,23,14,61
1,26,0.17488285899162292,0.7265625,40,88,53,75,29,24,11,64
1,27,0.1579272300004959,0.75,51,77,53,75,36,17,15,60
1,28,0.13335445523262024,0.71875,67,61,53,75,42,11,25,50
1,29,0.12522956728935242,0.7265625,70,58,53,75,44,9,26,49
1,30,0.10695482045412064,0.75,63,65,53,75,42,11,21,54
1,31,0.12530601024627686,0.734375,75,53,53,75,47,6,28,47
1,32,0.08673388510942459,0.703125,79,49,53,75,47,6,32,43
1,33,0.09970719367265701,0.71875,77,51,53,75,47,6,30,45
1,34,0.07134517282247543,0.7265625,70,58,53,75,44,9,26,49
1,35,0.07899151742458344,0.7265625,72,56,53,75,45,8,27,48
1,36,0.058984361588954926,0.734375,73,55,53,75,46,7,27,48
1,37,0.05583210662007332,0.71875,71,57,53,75,44,9,27,48
1,38,0.05192120373249054,0.765625,65,63,53,75,44,9,21,54
1,39,0.04861350357532501,0.7578125,64,64,53,75,43,10,21,54
1,40,0.038489870727062225,0.7578125,66,62,53,75,44,9,22,53
1,41,0.039679840207099915,0.734375,69,59,53,75,44,9,25,50
1,42,0.033254317939281464,0.734375,67,61,53,75,43,10,24,51
1,43,0.029972931370139122,0.734375,67,61,53,75,43,10,24,51
1,44,0.025817658752202988,0.734375,67,61,53,75,43,10,24,51
1,45,0.025439061224460602,0.734375,67,61,53,75,43,10,24,51
1,46,0.025264857336878777,0.71875,67,61,53,75,42,11,25,50
1,47,0.025434527546167374,0.734375,65,63,53,75,42,11,23,52
1,48,0.0211667288094759,0.734375,65,63,53,75,42,11,23,52
1,49,0.019718045368790627,0.734375,65,63,53,75,42,11,23,52
2,0,0.7915371060371399,0.5905511811023622,0,127,52,75,0,52,0,75
2,1,51.60203170776367,0.5905511811023622,0,127,52,75,0,52,0,75
2,2,7.064937114715576,0.3779527559055118,117,10,52,75,45,7,72,3
2,3,0.7786978483200073,0.4330708661417323,86,41,52,75,33,19,53,22
2,4,1.4340803623199463,0.3779527559055118,115,12,52,75,44,8,71,4
2,5,1.1355724334716797,0.4330708661417323,116,11,52,75,48,4,68,7
2,6,0.8847441673278809,0.5826771653543307,101,26,52,75,50,2,51,24
2,7,0.7913668751716614,0.5905511811023622,102,25,52,75,51,1,51,24
2,8,0.6508378982543945,0.5826771653543307,105,22,52,75,52,0,53,22
2,9,0.5720885396003723,0.6220472440944882,100,27,52,75,52,0,48,27
2,10,0.5073761940002441,0.7322834645669292,80,47,52,75,49,3,31,44
2,11,0.41711166501045227,0.7716535433070866,59,68,52,75,41,11,18,57
2,12,0.38013845682144165,0.7874015748031497,55,72,52,75,40,12,15,60
2,13,0.3303535580635071,0.7874015748031497,55,72,52,75,40,12,15,60
2,14,0.305411696434021,0.7952755905511811,48,79,52,75,37,15,11,64
2,15,0.27501508593559265,0.8188976377952756,43,84,52,75,36,16,7,68
2,16,0.2531188726425171,0.7952755905511811,46,81,52,75,36,16,10,65
