Fold,Epoch,Loss,Accuracy,Pred_Real,Pred_Fake,True_Real,True_Fake,TN,FP,FN,TP
1,0,0.7033203840255737,0.4140625,128,0,53,75,53,0,75,0
1,1,3.194597005844116,0.4140625,128,0,53,75,53,0,75,0
1,2,0.915657103061676,0.5859375,0,128,53,75,0,53,0,75
1,3,0.7089536190032959,0.5859375,0,128,53,75,0,53,0,75
1,4,0.8908023834228516,0.5859375,0,128,53,75,0,53,0,75
1,5,0.8534721732139587,0.5859375,0,128,53,75,0,53,0,75
1,6,0.7637312412261963,0.5859375,0,128,53,75,0,53,0,75
1,7,0.7198966145515442,0.5859375,0,128,53,75,0,53,0,75
1,8,0.6910489797592163,0.5859375,0,128,53,75,0,53,0,75
1,9,0.6807456612586975,0.5859375,0,128,53,75,0,53,0,75
1,10,0.6724801659584045,0.5859375,0,128,53,75,0,53,0,75
1,11,0.6566095948219299,0.5859375,0,128,53,75,0,53,0,75
1,12,0.6295942068099976,0.5859375,0,128,53,75,0,53,0,75
1,13,0.6162828207015991,0.6015625,14,114,53,75,8,45,6,69
1,14,0.5954009294509888,0.640625,23,105,53,75,15,38,8,67
1,15,0.5737530589103699,0.6484375,26,102,53,75,17,36,9,66
1,16,0.5415784120559692,0.640625,29,99,53,75,18,35,11,64
1,17,0.5214108228683472,0.6640625,36,92,53,75,23,30,13,62
1,18,0.4965120553970337,0.671875,37,91,53,75,24,29,13,62
1,19,0.4709421694278717,0.671875,37,91,53,75,24,29,13,62
1,20,0.44904354214668274,0.6875,39,89,53,75,26,27,13,62
1,21,0.42756715416908264,0.6875,41,87,53,75,27,26,14,61
1,22,0.4120235741138458,0.6953125,44,84,53,75,29,24,15,60
1,23,0.3653479516506195,0.6796875,44,84,53,75,28,25,16,59
1,24,0.33006197214126587,0.7109375,50,78,53,75,33,20,17,58
1,25,0.2963545620441437,0.7109375,50,78,53,75,33,20,17,58
1,26,0.28167176246643066,0.7109375,50,78,53,75,33,20,17,58
1,27,0.25654953718185425,0.7109375,46,82,53,75,31,22,15,60
1,28,0.27487924695014954,0.75,53,75,53,75,37,16,16,59
1,29,0.2424851506948471,0.75,55,73,53,75,38,15,17,58
1,30,0.22875775396823883,0.7421875,50,78,53,75,35,18,15,60
1,31,0.1850435435771942,0.75,49,79,53,75,35,18,14,61
1,32,0.16566789150238037,0.75,51,77,53,75,36,17,15,60
1,33,0.16416476666927338,0.7421875,46,82,53,75,33,20,13,62
1,34,0.15194591879844666,0.75,45,83,53,75,33,20,12,63
1,35,0.15315601229667664,0.7421875,42,86,53,75,31,22,11,64
1,36,0.12280318886041641,0.75,41,87,53,75,31,22,10,65
1,37,0.1249237209558487,0.75,49,79,53,75,35,18,14,61
1,38,0.10988911241292953,0.75,55,73,53,75,38,15,17,58
1,39,0.12650619447231293,0.75,49,79,53,75,35,18,14,61
1,40,0.10621222108602524,0.75,41,87,53,75,31,22,10,65
1,41,0.09239545464515686,0.7265625,38,90,53,75,28,25,10,65
1,42,0.09988496452569962,0.7421875,40,88,53,75,30,23,10,65
1,43,0.08577705174684525,0.7421875,46,82,53,75,33,20,13,62
1,44,0.08000600337982178,0.75,51,77,53,75,36,17,15,60
1,45,0.06953591853380203,0.7421875,50,78,53,75,35,18,15,60
1,46,0.06317341327667236,0.7421875,48,80,53,75,34,19,14,61
1,47,0.06945648044347763,0.7265625,44,84,53,75,31,22,13,62
1,48,0.05848952755331993,0.734375,41,87,53,75,30,23,11,64
1,49,0.06003862991929054,0.7265625,40,88,53,75,29,24,11,64
2,0,0.7224643230438232,0.5905511811023622,0,127,52,75,0,52,0,75
2,1,3.372441530227661,0.5905511811023622,0,127,52,75,0,52,0,75
2,2,0.9363564252853394,0.5669291338582677,107,20,52,75,52,0,55,20
2,3,0.6758365631103516,0.4094488188976378,127,0,52,75,52,0,75,0
2,4,0.8098336458206177,0.4094488188976378,127,0,52,75,52,0,75,0
2,5,0.7994162440299988,0.4094488188976378,127,0,52,75,52,0,75,0
2,6,0.7589414715766907,0.4094488188976378,127,0,52,75,52,0,75,0
2,7,0.7253579497337341,0.4094488188976378,127,0,52,75,52,0,75,0
2,8,0.715967059135437,0.4094488188976378,127,0,52,75,52,0,75,0
2,9,0.710411012172699,0.4094488188976378,127,0,52,75,52,0,75,0
2,10,0.7059999704360962,0.4094488188976378,127,0,52,75,52,0,75,0
2,11,0.7023186087608337,0.4094488188976378,127,0,52,75,52,0,75,0
2,12,0.6979512572288513,0.4094488188976378,127,0,52,75,52,0,75,0
2,13,0.6947343945503235,0.4094488188976378,127,0,52,75,52,0,75,0
2,14,0.689235508441925,0.4094488188976378,127,0,52,75,52,0,75,0
2,15,0.6834646463394165,0.4094488188976378,127,0,52,75,52,0,75,0
2,16,0.6770636439323425,0.4094488188976378,127,0,52,75,52,0,75,0
2,17,0.6644845008850098,0.4881889763779528,111,16,52,75,49,3,62,13
2,18,0.650561511516571,0.5354330708661418,99,28,52,75,46,6,53,22
2,19,0.6304372549057007,0.5669291338582677,95,32,52,75,46,6,49,26
2,20,0.6120415329933167,0.5748031496062992,94,33,52,75,46,6,48,27
2,21,0.5894033908843994,0.5748031496062992,96,31,52,75,47,5,49,26
2,22,0.5598785877227783,0.5669291338582677,97,30,52,75,47,5,50,25
2,23,0.5410277843475342,0.5590551181102362,98,29,52,75,47,5,51,24
2,24,0.5091323852539062,0.5590551181102362,98,29,52,75,47,5,51,24
2,25,0.49279171228408813,0.5590551181102362,98,29,52,75,47,5,51,24
2,26,0.4642690122127533,0.5905511811023622,94,33,52,75,47,5,47,28
2,27,0.4396766126155853,0.6220472440944882,90,37,52,75,47,5,43,32
2,28,0.4275711476802826,0.6299212598425197,89,38,52,75,47,5,42,33
2,29,0.4075148403644562,0.6535433070866141,86,41,52,75,47,5,39,36
